	PHASE	TYPE	ORIGINAL	ACTUAL	UP	DP	position	position_UP	position_DP	phoneme	phon_prob	error
143	Original	Original	flAtsm	flAtsm	?	?	5	?	?	s	1.00000	0.00000
144	Original	Original	flAtsm	flAtsm	?	?	6	?	?	m	1.00000	0.00000
145	Original	Original	fOrmj@l@	fOrmj@l@	?	?	1	?	?	f	0.04767	1.90465
146	Original	Original	fOrmj@l@	fOrmj@l@	?	?	2	?	?	O	0.10820	1.78360
147	Original	Original	fOrmj@l@	fOrmj@l@	?	?	3	?	?	r	0.84021	0.31959
148	Original	Original	fOrmj@l@	fOrmj@l@	?	?	4	?	?	m	0.21875	1.56250
149	Original	Original	fOrmj@l@	fOrmj@l@	?	?	5	?	?	j	0.26471	1.47059
150	Original	Original	fOrmj@l@	fOrmj@l@	?	?	6	?	?	@	1.00000	0.00000
151	Original	Original	fOrmj@l@	fOrmj@l@	?	?	7	?	?	l	1.00000	0.00000
152	Original	Original	fOrmj@l@	fOrmj@l@	?	?	8	?	?	@	0.22222	1.55556
153	Original	Original	fOrC@n	fOrC@n	?	?	1	?	?	f	0.04767	1.90465
154	Original	Original	fOrC@n	fOrC@n	?	?	2	?	?	O	0.10820	1.78360
155	Original	Original	fOrC@n	fOrC@n	?	?	3	?	?	r	0.84021	0.31959
156	Original	Original	fOrC@n	fOrC@n	?	?	4	?	?	C	0.02500	1.95000
157	Original	Original	fOrC@n	fOrC@n	?	?	5	?	?	@	0.50000	1.00000
158	Original	Original	fOrC@n	fOrC@n	?	?	6	?	?	n	1.00000	0.00000
159	Original	Original	kImono	kImono	?	?	1	?	?	k	0.09003	1.81994
160	Original	Original	kImono	kImono	?	?	2	?	?	I	0.02245	1.95511
161	Original	Original	kImono	kImono	?	?	3	?	?	m	0.01316	1.97368
162	Original	Original	kImono	kImono	?	?	4	?	?	o	1.00000	0.00000
163	Original	Original	kImono	kImono	?	?	5	?	?	n	1.00000	0.00000
164	Original	Original	kImono	kImono	?	?	6	?	?	o	1.00000	0.00000
165	Original	Original	l@mEnt	l@mEnt	?	?	1	?	?	l	0.03183	1.93635
166	Original	Original	l@mEnt	l@mEnt	?	?	2	?	?	@	0.01921	1.96157
167	Original	Original	l@mEnt	l@mEnt	?	?	3	?	?	m	0.08696	1.82609
168	Original	Original	l@mEnt	l@mEnt	?	?	4	?	?	E	1.00000	0.00000
169	Original	Original	l@mEnt	l@mEnt	?	?	5	?	?	n	1.00000	0.00000
170	Original	Original	l@mEnt	l@mEnt	?	?	6	?	?	t	1.00000	0.00000
171	Original	Original	lEkt#n	lEkt#n	?	?	1	?	?	l	0.03183	1.93635
172	Original	Original	lEkt#n	lEkt#n	?	?	2	?	?	E	0.11947	1.76107
173	Original	Original	lEkt#n	lEkt#n	?	?	3	?	?	k	0.06294	1.87413
174	Original	Original	lEkt#n	lEkt#n	?	?	4	?	?	t	0.11111	1.77778
175	Original	Original	lEkt#n	lEkt#n	?	?	5	?	?	#	1.00000	0.00000
176	Original	Original	lEkt#n	lEkt#n	?	?	6	?	?	n	1.00000	0.00000
177	Original	Original	lIbito	lIbito	?	?	1	?	?	l	0.03183	1.93635
178	Original	Original	lIbito	lIbito	?	?	2	?	?	I	0.16541	1.66917
179	Original	Original	lIbito	lIbito	?	?	3	?	?	b	0.11616	1.76768
180	Original	Original	lIbito	lIbito	?	?	4	?	?	i	0.13043	1.73913
181	Original	Original	lIbito	lIbito	?	?	5	?	?	t	0.33333	1.33333
182	Original	Original	lIbito	lIbito	?	?	6	?	?	o	1.00000	0.00000
183	Original	Original	me@nez	me@nez	?	?	1	?	?	m	0.05057	1.89886
184	Original	Original	me@nez	me@nez	?	?	2	?	?	e	0.04942	1.90116
185	Original	Original	me@nez	me@nez	?	?	3	?	?	@	0.03226	1.93548
186	Original	Original	me@nez	me@nez	?	?	4	?	?	n	0.33333	1.33333
187	Original	Original	me@nez	me@nez	?	?	5	?	?	e	1.00000	0.00000
188	Original	Original	me@nez	me@nez	?	?	6	?	?	z	1.00000	0.00000
189	Original	Original	mVSrum	mVSrum	?	?	1	?	?	m	0.05057	1.89886
190	Original	Original	mVSrum	mVSrum	?	?	2	?	?	V	0.07150	1.85699
191	Original	Original	mVSrum	mVSrum	?	?	3	?	?	S	0.03676	1.92647
192	Original	Original	mVSrum	mVSrum	?	?	4	?	?	r	0.75000	0.50000
193	Original	Original	mVSrum	mVSrum	?	?	5	?	?	u	1.00000	0.00000
194	Original	Original	mVSrum	mVSrum	?	?	6	?	?	m	1.00000	0.00000
195	Original	Original	napkIn	napkIn	?	?	1	?	?	n	0.02111	1.95778
196	Original	Original	napkIn	napkIn	?	?	2	?	?	a	0.08186	1.83627
197	Original	Original	napkIn	napkIn	?	?	3	?	?	p	0.12308	1.75385
198	Original	Original	napkIn	napkIn	?	?	4	?	?	k	0.28571	1.42857
199	Original	Original	napkIn	napkIn	?	?	5	?	?	I	1.00000	0.00000
200	Original	Original	napkIn	napkIn	?	?	6	?	?	n	1.00000	0.00000
201	Original	Original	Or@J@n	Or@J@n	?	?	1	?	?	O	0.00723	1.98554
202	Original	Original	Or@J@n	Or@J@n	?	?	2	?	?	r	0.41328	1.17343
203	Original	Original	Or@J@n	Or@J@n	?	?	3	?	?	@	0.14679	1.70642
204	Original	Original	Or@J@n	Or@J@n	?	?	4	?	?	J	0.13333	1.73333
205	Original	Original	Or@J@n	Or@J@n	?	?	5	?	?	@	1.00000	0.00000
206	Original	Original	Or@J@n	Or@J@n	?	?	6	?	?	n	1.00000	0.00000
207	Original	Original	p@got@	p@got@	?	?	1	?	?	p	0.07466	1.85068
208	Original	Original	p@got@	p@got@	?	?	2	?	?	@	0.03348	1.93305
209	Original	Original	p@got@	p@got@	?	?	3	?	?	g	0.02128	1.95745
210	Original	Original	p@got@	p@got@	?	?	4	?	?	o	1.00000	0.00000
211	Original	Original	p@got@	p@got@	?	?	5	?	?	t	1.00000	0.00000
212	Original	Original	p@got@	p@got@	?	?	6	?	?	@	1.00000	0.00000
213	Original	Original	pArsli	pArsli	?	?	1	?	?	p	0.07466	1.85068
214	Original	Original	pArsli	pArsli	?	?	2	?	?	A	0.08120	1.83761
215	Original	Original	pArsli	pArsli	?	?	3	?	?	r	0.32599	1.34802
216	Original	Original	pArsli	pArsli	?	?	4	?	?	s	0.13699	1.72603
217	Original	Original	pArsli	pArsli	?	?	5	?	?	l	0.10000	1.80000
218	Original	Original	pArsli	pArsli	?	?	6	?	?	i	1.00000	0.00000
219	Original	Original	pElvIs	pElvIs	?	?	1	?	?	p	0.07466	1.85068
220	Original	Original	pElvIs	pElvIs	?	?	2	?	?	E	0.05627	1.88746
221	Original	Original	pElvIs	pElvIs	?	?	3	?	?	l	0.05063	1.89873
222	Original	Original	pElvIs	pElvIs	?	?	4	?	?	v	0.25000	1.50000
223	Original	Original	pElvIs	pElvIs	?	?	5	?	?	I	1.00000	0.00000
224	Original	Original	pElvIs	pElvIs	?	?	6	?	?	s	0.50000	1.00000
225	Original	Original	pIknIk	pIknIk	?	?	1	?	?	p	0.07466	1.85068
226	Original	Original	pIknIk	pIknIk	?	?	2	?	?	I	0.06838	1.86325
227	Original	Original	pIknIk	pIknIk	?	?	3	?	?	k	0.21354	1.57292
228	Original	Original	pIknIk	pIknIk	?	?	4	?	?	n	0.10000	1.80000
229	Original	Original	pIknIk	pIknIk	?	?	5	?	?	I	1.00000	0.00000
230	Original	Original	pIknIk	pIknIk	?	?	6	?	?	k	1.00000	0.00000
231	Original	Original	p@teto	p@teto	?	?	1	?	?	p	0.07466	1.85068
232	Original	Original	p@teto	p@teto	?	?	2	?	?	@	0.03348	1.93305
233	Original	Original	p@teto	p@teto	?	?	3	?	?	t	0.31915	1.36170
234	Original	Original	p@teto	p@teto	?	?	4	?	?	e	0.06667	1.86667
235	Original	Original	p@teto	p@teto	?	?	5	?	?	t	1.00000	0.00000
236	Original	Original	p@teto	p@teto	?	?	6	?	?	o	1.00000	0.00000
237	Original	Original	prof!l	prof!l	?	?	1	?	?	p	0.07466	1.85068
238	Original	Original	prof!l	prof!l	?	?	2	?	?	r	0.27457	1.45085
239	Original	Original	prof!l	prof!l	?	?	3	?	?	o	0.08949	1.82101
240	Original	Original	prof!l	prof!l	?	?	4	?	?	f	0.04412	1.91176
241	Original	Original	prof!l	prof!l	?	?	5	?	?	!	0.66667	0.66667
242	Original	Original	prof!l	prof!l	?	?	6	?	?	l	1.00000	0.00000
243	Original	Original	pUlpIt	pUlpIt	?	?	1	?	?	p	0.07466	1.85068
244	Original	Original	pUlpIt	pUlpIt	?	?	2	?	?	U	0.01282	1.97436
245	Original	Original	pUlpIt	pUlpIt	?	?	3	?	?	l	0.30556	1.38889
246	Original	Original	pUlpIt	pUlpIt	?	?	4	?	?	p	0.20000	1.60000
247	Original	Original	pUlpIt	pUlpIt	?	?	5	?	?	I	1.00000	0.00000
248	Original	Original	pUlpIt	pUlpIt	?	?	6	?	?	t	1.00000	0.00000
249	Original	Original	rEskju	rEskju	?	?	1	?	?	r	0.05964	1.88072
250	Original	Original	rEskju	rEskju	?	?	2	?	?	E	0.14222	1.71556
251	Original	Original	rEskju	rEskju	?	?	3	?	?	s	0.10658	1.78683
252	Original	Original	rEskju	rEskju	?	?	4	?	?	k	0.11765	1.76471
253	Original	Original	rEskju	rEskju	?	?	5	?	?	j	1.00000	0.00000
254	Original	Original	rEskju	rEskju	?	?	6	?	?	u	1.00000	0.00000
255	Original	Original	rEv@nu	rEv@nu	?	?	1	?	?	r	0.05964	1.88072
256	Original	Original	rEv@nu	rEv@nu	?	?	2	?	?	E	0.14222	1.71556
257	Original	Original	rEv@nu	rEv@nu	?	?	3	?	?	v	0.08777	1.82445
258	Original	Original	rEv@nu	rEv@nu	?	?	4	?	?	@	0.33333	1.33333
259	Original	Original	rEv@nu	rEv@nu	?	?	5	?	?	n	0.33333	1.33333
260	Original	Original	rEv@nu	rEv@nu	?	?	6	?	?	u	1.00000	0.00000
261	Original	Original	skafLd	skafLd	?	?	1	?	?	s	0.11388	1.77224
262	Original	Original	skafLd	skafLd	?	?	2	?	?	k	0.10740	1.78520
263	Original	Original	skafLd	skafLd	?	?	3	?	?	a	0.10652	1.78696
264	Original	Original	skafLd	skafLd	?	?	4	?	?	f	0.06122	1.87755
265	Original	Original	skafLd	skafLd	?	?	5	?	?	L	1.00000	0.00000
266	Original	Original	skafLd	skafLd	?	?	6	?	?	d	1.00000	0.00000
267	Original	Original	sEs@mi	sEs@mi	?	?	1	?	?	s	0.11388	1.77224
268	Original	Original	sEs@mi	sEs@mi	?	?	2	?	?	E	0.06397	1.87205
269	Original	Original	sEs@mi	sEs@mi	?	?	3	?	?	s	0.01460	1.97080
270	Original	Original	sEs@mi	sEs@mi	?	?	4	?	?	@	0.25000	1.50000
271	Original	Original	sEs@mi	sEs@mi	?	?	5	?	?	m	1.00000	0.00000
272	Original	Original	sEs@mi	sEs@mi	?	?	6	?	?	i	1.00000	0.00000
273	Original	Original	SrapnL	SrapnL	?	?	1	?	?	S	0.01260	1.97479
274	Original	Original	SrapnL	SrapnL	?	?	2	?	?	r	0.08017	1.83966
275	Original	Original	SrapnL	SrapnL	?	?	3	?	?	a	0.05263	1.89474
276	Original	Original	SrapnL	SrapnL	?	?	4	?	?	p	0.50000	1.00000
277	Original	Original	SrapnL	SrapnL	?	?	5	?	?	n	1.00000	0.00000
278	Original	Original	SrapnL	SrapnL	?	?	6	?	?	L	1.00000	0.00000
279	Original	Original	sIluEt	sIluEt	?	?	1	?	?	s	0.11388	1.77224
280	Original	Original	sIluEt	sIluEt	?	?	2	?	?	I	0.08452	1.83096
281	Original	Original	sIluEt	sIluEt	?	?	3	?	?	l	0.09116	1.81768
282	Original	Original	sIluEt	sIluEt	?	?	4	?	?	u	0.09375	1.81250
283	Original	Original	sIluEt	sIluEt	?	?	5	?	?	E	1.00000	0.00000
284	Original	Original	sIluEt	sIluEt	?	?	6	?	?	t	1.00000	0.00000
285	Original	Original	slEnt#	slEnt#	?	?	1	?	?	s	0.11388	1.77224
286	Original	Original	slEnt#	slEnt#	?	?	2	?	?	l	0.04740	1.90521
287	Original	Original	slEnt#	slEnt#	?	?	3	?	?	E	0.03448	1.93103
288	Original	Original	slEnt#	slEnt#	?	?	4	?	?	n	0.28571	1.42857
289	Original	Original	slEnt#	slEnt#	?	?	5	?	?	t	1.00000	0.00000
290	Original	Original	slEnt#	slEnt#	?	?	6	?	?	#	1.00000	0.00000
291	Original	Original	slog@n	slog@n	?	?	1	?	?	s	0.11388	1.77224
